,LINKUSDT,SANDUSDT,Spread,Zscore
0,8.61,1.3205,-0.15812000000000026,
1,8.625,1.3229,-0.15905599999999964,
2,8.61,1.3101,-0.08906400000000048,
3,8.568,1.3038,-0.08923200000000087,
4,8.693,1.3243,-0.10035200000000088,
5,8.608,1.3224,-0.17273599999999867,
6,8.759,1.3303,-0.07419200000000004,
7,8.828,1.3379,-0.055656000000000816,
8,8.723,1.3224,-0.057735999999998455,
9,8.659,1.3211,-0.1131039999999981,
10,8.661,1.3123,-0.052671999999999386,
11,8.672,1.3113,-0.03503199999999751,
12,8.648,1.3068,-0.029151999999999845,
13,8.581,1.3008,-0.05631200000000014,
14,8.637,1.3098,-0.0600719999999999,
15,8.668,1.3125,-0.0470000000000006,
16,8.691,1.3083,0.003888000000001668,
17,8.601,1.297,-0.01107999999999798,
18,8.669,1.3059,-0.0021759999999986235,
19,8.572,1.293,-0.013519999999999754,
20,8.549,1.288,-0.0033200000000004337,1.1871203558577665
21,8.577,1.2932,-0.009847999999999857,0.9883398817168925
22,8.619,1.2969,0.007584000000001367,1.2788298911698899
23,8.591,1.2946,-0.005143999999999593,0.9080986439862667
24,8.675,1.3089,-0.016095999999999222,0.5996655002493153
25,8.589,1.302,-0.05627999999999922,-0.3559773329991472
26,8.641,1.3022,-0.0056080000000005015,0.871941348453835
27,8.551,1.2922,-0.02920799999999879,0.05436124939764192
28,8.467,1.2892,-0.0932879999999976,-1.8657437936797792
29,8.434,1.2792,-0.05988799999999905,-0.8330913221275391
30,8.484,1.2877,-0.06632800000000039,-1.2738581288213764
31,8.469,1.2787,-0.021568000000000254,0.2689398349346614
32,8.497,1.2798,-0.0008719999999993178,0.9359139735779005
33,8.452,1.2708,0.013888000000001455,1.3197513792849567
34,8.471,1.2772,-0.009607999999998285,0.46542374702232303
35,8.516,1.2796,0.019455999999999918,1.3302620549769644
36,8.512,1.2752,0.04467200000000204,1.8889836323174702
37,8.44,1.2714,-0.0020959999999998757,0.41875703890563054
38,8.428,1.2694,-0.0008159999999985956,0.44186256440552535
39,8.52,1.2845,-0.009079999999999089,0.191113855168521
40,8.483,1.2803,-0.018191999999999098,-0.09137824310451285
41,8.533,1.281,0.027160000000000295,1.2534265719775493
42,8.589,1.2937,-0.0011679999999998358,0.37406163619912464
43,8.61,1.2964,0.0019039999999996837,0.47816257915518146
44,8.674,1.3013,0.033368000000001174,1.3221767252515846
45,8.679,1.3012,0.03903200000000062,1.3430248260006812
46,8.417,1.271,-0.02243999999999957,-0.42896440176630357
47,8.466,1.2719,0.02058399999999949,0.7706040247438101
48,8.498,1.2755,0.028679999999999595,0.9128618269150757
49,8.431,1.2676,0.014135999999998816,0.4369167856848291
50,8.401,1.2662,-0.006567999999999685,-0.4151267129305308
51,8.283,1.2386,0.05869600000000119,2.149858510210193
52,8.149,1.2157,0.07675199999999904,2.4099044076707474
53,8.048,1.2136,-0.010303999999999647,-0.9372879358163662
54,8.086,1.2201,-0.0154639999999997,-1.0495127616002518
55,8.132,1.2313,-0.04383200000000009,-1.8781700519645421
56,8.159,1.236,-0.04803999999999853,-1.7544961696314316
57,8.161,1.2319,-0.018815999999999278,-0.7595480250629315
58,8.113,1.2257,-0.025648000000000337,-0.9221677129260626
59,8.183,1.2297,0.01779200000000003,0.40852687396964094
60,8.126,1.2181,0.037815999999999406,0.9451084398760663
61,7.995,1.2175,-0.08919999999999906,-2.4053446412400645
62,8.035,1.217,-0.045880000000000365,-1.1602334130440748
63,8.075,1.2175,-0.009199999999999875,-0.22405119606826357
64,8.094,1.2273,-0.05527200000000043,-1.2611863665794587
65,8.074,1.2227,-0.04472799999999921,-0.9151795737957545
66,8.093,1.2253,-0.04299199999999992,-0.791999770399704
67,8.052,1.2183,-0.037511999999999546,-0.6347479922384632
68,8.097,1.2267,-0.04828799999999944,-0.8154660600539894
69,8.131,1.2163,0.05476800000000104,1.587027887187441
70,8.164,1.2199,0.06386400000000059,1.634472210870502
71,8.158,1.2202,0.05587200000000081,1.329275561630249
72,8.188,1.2268,0.042048000000001196,1.0815392909310306
73,8.174,1.2225,0.05659999999999954,1.4624708299051694
74,8.219,1.2287,0.060432000000000485,1.3953826479259328
75,8.198,1.2385,-0.02563999999999922,-0.3887753649440415
76,8.107,1.224,-0.020360000000000156,-0.3062379089031836
77,8.092,1.2214,-0.01809599999999989,-0.29409421126855906
78,8.109,1.2212,0.00023200000000045407,0.0802264694266345
79,8.014,1.2064,0.0035039999999995075,0.12145890213337254
80,7.977,1.2075,-0.04079999999999906,-0.7688274291607714
81,7.99,1.2085,-0.03443999999999825,-0.5668081638543007
82,7.982,1.2082,-0.04044799999999871,-0.8027619372277957
83,8.008,1.2087,-0.017768000000002004,-0.31156919809442307
84,8.017,1.2096,-0.014744000000000312,-0.23304997777396577
85,7.965,1.2027,-0.020928000000000502,-0.43348903780644926
86,7.635,1.1528,-0.019592000000000276,-0.44003796651450827
87,7.545,1.1254,0.07234400000000019,1.652992703534454
88,7.433,1.1043,0.10044800000000009,1.9830034557145213
89,7.456,1.1123,0.07032799999999995,1.2052639429705791
90,7.461,1.1138,0.0653680000000012,1.0727873839988578
91,7.414,1.1144,0.01438399999999973,0.014222590031164975
92,7.422,1.1152,0.017072000000000642,0.11869477289715767
93,7.06,1.0572,0.04019200000000023,0.652465773823472
94,7.113,1.0687,0.016832000000000846,0.16342101218184288
95,7.087,1.0627,0.030672000000000033,0.5407472270082008
96,7.105,1.0658,0.028088000000000335,0.42111266376333206
97,7.08,1.0632,0.020352000000000814,0.1846212525138858
98,7.054,1.0643,-0.012951999999999408,-0.660928078093498
99,7.065,1.0681,-0.02718399999999921,-0.965339925809135
100,7.03,1.0584,0.002224000000000892,-0.23813272018695852
101,7.05,1.0599,0.012264000000000053,-0.05532145909903867
102,7.101,1.0681,0.008816000000000379,-0.20620306649571818
103,7.157,1.0802,-0.015527999999999764,-0.9333297714234501
104,7.1,1.0722,-0.019408000000000314,-1.0378403907275227
105,7.075,1.0685,-0.019839999999999414,-1.0359558614686186
106,7.109,1.0711,-0.0031039999999995516,-0.6057949954745985
107,7.064,1.0658,-0.012912000000000035,-0.9024981419136812
108,6.905,1.0408,-0.005911999999999473,-0.6289371311725971
109,6.915,1.05,-0.056999999999999496,-2.1271327434805714
110,6.881,1.0435,-0.04783999999999988,-1.7147629996680218
111,6.99,1.0483,0.029288000000000203,1.1385519884158146
112,7.022,1.0498,0.05132799999999982,1.773605175610161
113,7.036,1.054,0.03743999999999925,1.20409655077478
114,7.066,1.0537,0.06943199999999994,2.083350033071896
115,7.105,1.0636,0.04269600000000029,1.1547317667061385
116,7.047,1.0596,0.011255999999999489,0.21616907343762376
117,7.09,1.0725,-0.03139999999999965,-1.018110394728522
118,7.15,1.0738,0.01996800000000043,0.5710780594755558
119,7.069,1.0664,-0.011896000000000129,-0.41642344680967974
120,7.098,1.0698,-0.005472000000000143,-0.2544923977902374
121,7.087,1.0688,-0.009831999999999397,-0.37263028227312267
122,7.057,1.0638,-0.006631999999999749,-0.24397677469057444
123,7.015,1.0607,-0.028048000000000073,-0.847888757427855
124,7.016,1.0666,-0.06622399999999917,-1.791872374045869
125,6.968,1.0596,-0.06774400000000025,-1.648016916588966
126,7.006,1.0582,-0.02044800000000002,-0.3978016174929139
127,6.945,1.0462,-0.0017679999999993257,0.09378410406291325
128,6.899,1.0443,-0.03515200000000007,-0.749210652008764
129,6.793,1.0255,-0.016320000000000334,-0.24555568593523647
130,6.716,1.0181,-0.04418399999999956,-1.005168773574184
131,6.676,1.0086,-0.021103999999999346,-0.4391800982361735
132,6.85,1.0378,-0.04099200000000014,-0.8919357257394241
133,6.854,1.0333,-0.007112000000000229,0.11799351108126906
134,6.888,1.0385,-0.007639999999999425,0.17516388941007607
135,6.865,1.039,-0.03395999999999866,-0.6020165946116846
136,6.949,1.0485,-0.013040000000000163,0.35091700501886103
137,6.929,1.0469,-0.02241599999999888,0.0015426697127106906
138,6.901,1.0428,-0.02319199999999988,-0.054303580333227706
139,6.896,1.0391,-0.0036239999999994055,1.0253351835620974
140,6.941,1.0439,0.009503999999999735,1.5643177167989308
141,6.897,1.0341,0.030576000000000825,2.2124571006067337
142,7.036,1.0551,0.030136000000000607,1.9088791604006634
143,7.032,1.056,0.020159999999999734,1.398309282349304
144,7.073,1.0582,0.04655200000000015,2.0077909014480047
145,7.067,1.0564,0.05250400000000077,1.966230775886718
146,7.096,1.0616,0.04697599999999991,1.6609737759877872
147,7.063,1.0577,0.03987199999999991,1.2804110300558422
148,7.003,1.0518,0.019047999999999732,0.5701293983912549
149,7.029,1.0556,0.01981599999999961,0.5262868275117549
