,sym_1,sym_2,p_value,t_value,c_value,hedge_ratio,zero_crossings
398,CVCUSDT,ANKRUSDT,0.0,-5.05,-3.37,3.88,13
480,CKBUSDT,ETHUSDT,0.01,-4.06,-3.37,0.0,13
8,ETHUSDT,CROUSDT,0.0,-4.74,-3.37,12777.11,13
201,UNIUSDT,ASTRUSDT,0.0,-4.42,-3.37,172.11,13
208,AAVEUSDT,XRPUSDT,0.03,-3.52,-3.37,254.61,13
209,MATICUSDT,ETHUSDT,0.03,-3.54,-3.37,0.0,13
61,LTCUSDT,RENUSDT,0.02,-3.64,-3.37,419.03,13
221,MATICUSDT,ICPUSDT,0.04,-3.44,-3.37,0.13,13
11,ETHUSDT,1INCHUSDT,0.04,-3.45,-3.37,2308.84,13
225,MATICUSDT,COTIUSDT,0.03,-3.49,-3.37,8.28,13
100,LTCUSDT,OPUSDT,0.02,-3.76,-3.37,46.58,13
255,MATICUSDT,RAYUSDT,0.03,-3.56,-3.37,1.15,13
478,HNTUSDT,DOGEUSDT,0.03,-3.48,-3.37,98.21,13
327,FTMUSDT,ONTUSDT,0.0,-4.32,-3.37,1.18,13
85,LTCUSDT,RAYUSDT,0.03,-3.59,-3.37,78.69,12
282,FILUSDT,UNIUSDT,0.02,-3.63,-3.37,0.91,12
175,ADAUSDT,ZILUSDT,0.01,-3.77,-3.37,12.11,12
182,ADAUSDT,OCEANUSDT,0.04,-3.4,-3.37,2.74,12
312,SHIB1000USDT,BTCUSDT,0.04,-3.41,-3.37,0.0,12
149,ADAUSDT,EGLDUSDT,0.03,-3.57,-3.37,0.01,12
153,ADAUSDT,ENSUSDT,0.04,-3.46,-3.37,0.03,12
45,XRPUSDT,CVXUSDT,0.0,-4.93,-3.37,0.06,12
170,ADAUSDT,ICXUSDT,0.04,-3.42,-3.37,1.61,12
222,MATICUSDT,DYDXUSDT,0.0,-4.37,-3.37,0.47,12
37,XRPUSDT,XNOUSDT,0.02,-3.6,-3.37,0.37,12
228,MATICUSDT,ANKRUSDT,0.05,-3.37,-3.37,21.0,11
408,DUSKUSDT,EOSUSDT,0.02,-3.72,-3.37,0.08,11
238,MATICUSDT,1INCHUSDT,0.02,-3.71,-3.37,1.15,11
227,MATICUSDT,SNXUSDT,0.0,-4.62,-3.37,0.27,11
216,MATICUSDT,AXSUSDT,0.01,-3.85,-3.37,0.06,11
265,MATICUSDT,BOBAUSDT,0.03,-3.51,-3.37,2.09,11
275,MATICUSDT,OPUSDT,0.01,-3.79,-3.37,0.68,11
145,ADAUSDT,HBARUSDT,0.04,-3.46,-3.37,6.84,10
26,XRPUSDT,DASHUSDT,0.03,-3.51,-3.37,0.01,10
390,SNXUSDT,BCHUSDT,0.01,-3.94,-3.37,0.02,10
25,XRPUSDT,DYDXUSDT,0.04,-3.44,-3.37,0.2,10
510,1000XECUSDT,AAVEUSDT,0.0,-14.25,-3.37,0.0,10
240,MATICUSDT,ANTUSDT,0.02,-3.67,-3.37,0.48,10
241,MATICUSDT,DUSKUSDT,0.03,-3.5,-3.37,6.11,10
244,MATICUSDT,WAVESUSDT,0.02,-3.72,-3.37,0.16,9
103,LTCUSDT,LDOUSDT,0.01,-4.04,-3.37,27.23,9
226,MATICUSDT,FLOWUSDT,0.04,-3.4,-3.37,0.38,9
314,FTMUSDT,XLMUSDT,0.01,-3.82,-3.37,2.74,9
299,XLMUSDT,ETHUSDT,0.02,-3.67,-3.37,0.0,9
247,MATICUSDT,ROSEUSDT,0.02,-3.6,-3.37,11.61,9
232,MATICUSDT,SFPUSDT,0.01,-3.84,-3.37,2.16,9
279,MATICUSDT,LDOUSDT,0.01,-4.03,-3.37,0.4,9
389,SNXUSDT,EOSUSDT,0.02,-3.67,-3.37,1.84,8
168,ADAUSDT,DUSKUSDT,0.0,-4.89,-3.37,3.47,8
386,IOTXUSDT,BNXUSDT,0.02,-3.7,-3.37,0.0,8
406,DUSKUSDT,BTCUSDT,0.0,-4.58,-3.37,0.0,8
171,ADAUSDT,WAVESUSDT,0.02,-3.73,-3.37,0.09,8
411,ARUSDT,DARUSDT,0.01,-3.79,-3.37,46.21,8
31,XRPUSDT,CTKUSDT,0.0,-4.46,-3.37,0.39,8
267,MATICUSDT,BALUSDT,0.0,-4.16,-3.37,0.13,8
264,MATICUSDT,LINAUSDT,0.04,-3.42,-3.37,96.02,7
296,FILUSDT,ONTUSDT,0.0,-4.54,-3.37,24.83,7
268,MATICUSDT,CVXUSDT,0.02,-3.6,-3.37,0.15,7
475,HNTUSDT,LINKUSDT,0.01,-3.82,-3.37,0.96,7
273,MATICUSDT,UNFIUSDT,0.05,-3.38,-3.37,0.09,7
407,DUSKUSDT,ETHUSDT,0.0,-4.6,-3.37,0.0,7
32,XRPUSDT,ANTUSDT,0.01,-3.8,-3.37,0.2,6
218,MATICUSDT,CRVUSDT,0.01,-3.84,-3.37,0.73,6
212,MATICUSDT,BCHUSDT,0.0,-4.32,-3.37,0.01,6
131,ADAUSDT,ETHUSDT,0.03,-3.49,-3.37,0.0,5
251,MATICUSDT,HNTUSDT,0.03,-3.58,-3.37,0.12,5
210,MATICUSDT,EOSUSDT,0.01,-3.8,-3.37,0.5,4
501,1000XECUSDT,BCHUSDT,0.0,-14.31,-3.37,0.0,4
388,IOTXUSDT,TRBUSDT,0.02,-3.75,-3.37,0.0,3
217,MATICUSDT,CHZUSDT,0.01,-3.87,-3.37,3.72,3
499,1000XECUSDT,EOSUSDT,0.0,-14.48,-3.37,0.03,2
163,ADAUSDT,RNDRUSDT,0.04,-3.41,-3.37,0.79,2
167,ADAUSDT,ANTUSDT,0.03,-3.58,-3.37,0.27,2
520,USDCUSDT,EOSUSDT,0.0,-6.1,-3.37,0.63,2
309,MANAUSDT,CELOUSDT,0.02,-3.6,-3.37,0.93,2
456,PEOPLEUSDT,ACHUSDT,0.04,-3.41,-3.37,115.24,1
420,PEOPLEUSDT,TRXUSDT,0.0,-4.9,-3.37,26.55,1
429,PEOPLEUSDT,FTMUSDT,0.01,-3.78,-3.37,5.49,1
428,PEOPLEUSDT,ENJUSDT,0.03,-3.54,-3.37,2.95,1
427,PEOPLEUSDT,AVAXUSDT,0.02,-3.7,-3.37,0.07,1
426,PEOPLEUSDT,KSMUSDT,0.04,-3.45,-3.37,0.03,1
425,PEOPLEUSDT,MANAUSDT,0.03,-3.49,-3.37,2.02,1
424,PEOPLEUSDT,SANDUSDT,0.02,-3.7,-3.37,1.6,1
423,PEOPLEUSDT,COMPUSDT,0.03,-3.58,-3.37,0.03,1
422,PEOPLEUSDT,THETAUSDT,0.03,-3.51,-3.37,1.37,1
421,PEOPLEUSDT,VETUSDT,0.02,-3.62,-3.37,64.81,1
419,PEOPLEUSDT,XLMUSDT,0.0,-4.79,-3.37,15.87,1
455,PEOPLEUSDT,MINAUSDT,0.0,-4.78,-3.37,2.3,1
418,PEOPLEUSDT,SOLUSDT,0.03,-3.51,-3.37,0.05,1
417,PEOPLEUSDT,FILUSDT,0.03,-3.53,-3.37,0.26,1
416,PEOPLEUSDT,DOGEUSDT,0.02,-3.65,-3.37,24.53,1
415,PEOPLEUSDT,SUSHIUSDT,0.03,-3.56,-3.37,1.38,1
414,PEOPLEUSDT,UNIUSDT,0.02,-3.73,-3.37,0.23,1
413,PEOPLEUSDT,XTZUSDT,0.02,-3.64,-3.37,1.04,1
412,PEOPLEUSDT,BTCUSDT,0.01,-3.82,-3.37,0.0,1
387,IOTXUSDT,BLZUSDT,0.03,-3.49,-3.37,0.31,1
276,MATICUSDT,BLZUSDT,0.04,-3.4,-3.37,7.79,1
430,PEOPLEUSDT,SRMUSDT,0.04,-3.43,-3.37,2.0,1
431,PEOPLEUSDT,FTTUSDT,0.04,-3.38,-3.37,0.06,1
432,PEOPLEUSDT,HBARUSDT,0.05,-3.37,-3.37,25.23,1
445,PEOPLEUSDT,DENTUSDT,0.0,-4.52,-3.37,1654.7,1
454,PEOPLEUSDT,CTSIUSDT,0.03,-3.52,-3.37,10.99,1
453,PEOPLEUSDT,BSWUSDT,0.04,-3.42,-3.37,5.2,1
452,PEOPLEUSDT,OGNUSDT,0.04,-3.39,-3.37,9.0,1
451,PEOPLEUSDT,GMTUSDT,0.02,-3.61,-3.37,2.07,1
450,PEOPLEUSDT,KDAUSDT,0.04,-3.39,-3.37,1.03,1
449,PEOPLEUSDT,OCEANUSDT,0.04,-3.41,-3.37,9.89,1
448,PEOPLEUSDT,SUNUSDT,0.01,-4.0,-3.37,296.66,1
447,PEOPLEUSDT,CKBUSDT,0.04,-3.43,-3.37,412.01,1
446,PEOPLEUSDT,LOOKSUSDT,0.01,-4.08,-3.37,5.93,1
444,PEOPLEUSDT,CELOUSDT,0.0,-4.48,-3.37,1.85,1
433,PEOPLEUSDT,RENUSDT,0.01,-3.98,-3.37,12.27,1
443,PEOPLEUSDT,STXUSDT,0.03,-3.5,-3.37,4.34,1
442,PEOPLEUSDT,LITUSDT,0.04,-3.43,-3.37,2.25,1
441,PEOPLEUSDT,GTCUSDT,0.02,-3.64,-3.37,0.68,1
439,PEOPLEUSDT,QTUMUSDT,0.03,-3.49,-3.37,0.48,1
438,PEOPLEUSDT,SLPUSDT,0.02,-3.73,-3.37,399.31,1
437,PEOPLEUSDT,BATUSDT,0.04,-3.44,-3.37,4.63,1
436,PEOPLEUSDT,WOOUSDT,0.04,-3.44,-3.37,9.65,1
435,PEOPLEUSDT,RUNEUSDT,0.03,-3.51,-3.37,0.77,1
434,PEOPLEUSDT,TLMUSDT,0.01,-3.89,-3.37,64.21,1
440,PEOPLEUSDT,IMXUSDT,0.0,-4.42,-3.37,1.93,1
