,XRPUSDT,XEMUSDT,Spread,Zscore
156,0.3425,0.046,0.0030200000000000227,-0.5506277616498593
157,0.3418,0.0458,0.0037960000000000216,-0.09736526608037552
158,0.3408,0.0457,0.003534000000000037,-0.21863361730036818
159,0.3399,0.0459,0.0011579999999999369,-1.365012158263663
160,0.3416,0.0455,0.005810000000000037,1.2151345615516023
161,0.3407,0.046,0.0012199999999999989,-1.242296936932675
162,0.34,0.046,0.0005200000000000204,-1.5238986641484167
163,0.3395,0.0461,-0.0007179999999999964,-1.9320769218461267
164,0.3405,0.0461,0.00028200000000000447,-1.302596111999825
165,0.3419,0.0464,-0.0005319999999999769,-1.561140903995551
166,0.3459,0.0464,0.0034680000000000266,0.3055506637619673
167,0.3448,0.0463,0.0031059999999999977,0.10738547451394351
168,0.3443,0.0462,0.0033440000000000136,0.17992040903884163
169,0.3418,0.0458,0.0037960000000000216,0.3753592962909789
170,0.3399,0.0457,0.002634000000000025,-0.19775796613117128
171,0.3401,0.0459,0.0013579999999999703,-0.757940139512451
172,0.3369,0.0459,-0.0018420000000000658,-2.042095699467163
173,0.3388,0.0458,0.0007960000000000189,-0.7345931150438902
174,0.3385,0.0459,-0.00024200000000001998,-1.1277895979181294
175,0.3385,0.0452,0.0049240000000000395,1.3621861260542254
176,0.3354,0.0443,0.008465999999999974,2.5192338293558256
177,0.3337,0.0442,0.007503999999999955,1.8520230240655056
178,0.333,0.0444,0.005327999999999999,0.999566359810155
179,0.3328,0.0446,0.0036519999999999886,0.3903866409558402
180,0.3331,0.0446,0.003952000000000011,0.45148597609213814
181,0.3341,0.0442,0.007903999999999967,1.751260314910834
182,0.3338,0.0441,0.00834199999999996,1.663465133764676
183,0.3331,0.0438,0.009856000000000031,1.8510425852852328
184,0.3347,0.0445,0.006290000000000018,0.7208411478048898
185,0.3354,0.0443,0.008465999999999974,1.25275181939124
186,0.3348,0.0442,0.008603999999999945,1.1878134625522823
187,0.3334,0.044,0.008680000000000021,1.1024777450116203
188,0.3336,0.0442,0.007403999999999966,0.6573823648807481
189,0.3361,0.0443,0.009166000000000007,1.0751756706368398
190,0.336,0.0443,0.009066000000000018,0.9553177725923889
191,0.3391,0.0447,0.009214000000000055,0.9070485662130107
192,0.3416,0.0449,0.010238000000000025,1.0972743269998038
193,0.3411,0.0447,0.011214000000000057,1.3685991684198673
194,0.3404,0.0447,0.010514000000000023,1.0840671083817943
195,0.3394,0.0447,0.009514000000000022,0.7143292431827819
196,0.3385,0.046,-0.0009799999999999809,-3.101404605332334
197,0.3381,0.046,-0.0013799999999999923,-2.517769874625515
198,0.3333,0.045,0.0011999999999999789,-1.5671038182115498
199,0.3321,0.0451,-0.0007380000000000164,-1.8376635792323823
