,JASMYUSDT,DOGEUSDT,Spread,Zscore
0,0.0103,0.0764,0.00036800000000000027,
1,0.0102,0.0757,0.00035899999999999994,
2,0.0102,0.0751,0.0004369999999999999,
3,0.0104,0.0767,0.0004289999999999988,
4,0.0103,0.0764,0.00036800000000000027,
5,0.0104,0.0773,0.0003510000000000006,
6,0.0105,0.0783,0.00032100000000000184,
7,0.0105,0.0778,0.0003860000000000009,
8,0.0104,0.0777,0.0002989999999999989,
9,0.0105,0.0771,0.000477,
10,0.0105,0.077,0.0004900000000000009,
11,0.0105,0.0769,0.000503,
12,0.0104,0.0764,0.00046799999999999967,
13,0.0107,0.0766,0.0007419999999999996,
14,0.011,0.0793,0.0006909999999999989,
15,0.0109,0.0787,0.0006689999999999995,
16,0.0108,0.0785,0.000595,
17,0.0107,0.0794,0.00037799999999999986,
18,0.0109,0.0792,0.0006039999999999986,
19,0.0109,0.079,0.0006300000000000004,
20,0.0113,0.0811,0.000756999999999999,1.8478419357498381
21,0.0111,0.0818,0.00046600000000000114,-0.2140826020202429
22,0.0111,0.0862,-0.00010600000000000019,-3.033485061077014
23,0.0112,0.0881,-0.00025299999999999975,-2.792650097587334
24,0.0113,0.0867,2.8999999999999512e-05,-1.4870291410802208
25,0.0118,0.0857,0.0006589999999999999,0.8290340912216085
26,0.0116,0.0869,0.0003029999999999977,-0.4842196048476597
27,0.0117,0.0876,0.0003119999999999998,-0.44896802741730096
28,0.0113,0.0848,0.00027599999999999847,-0.558659855955878
29,0.0114,0.0844,0.00042799999999999956,-0.022880429910989705
30,0.0113,0.0843,0.0003409999999999993,-0.3198504302970517
31,0.0113,0.0852,0.0002239999999999985,-0.696620867718618
32,0.0113,0.0845,0.0003149999999999976,-0.33209722656093194
33,0.0113,0.0851,0.00023699999999999936,-0.5721441724627262
34,0.0114,0.0857,0.00025900000000000055,-0.4253185957793999
35,0.0114,0.0859,0.00023299999999999883,-0.45622474493764664
36,0.0115,0.0863,0.000281,-0.20590383142221516
37,0.0115,0.0867,0.00022900000000000004,-0.3556359129620704
38,0.0119,0.0856,0.0007720000000000019,1.6886988079755543
39,0.0121,0.0849,0.0010629999999999997,2.359976400353993
40,0.012,0.0849,0.0009630000000000003,1.8322875372006957
41,0.012,0.085,0.0009499999999999995,1.6905312090754179
42,0.012,0.0863,0.0007810000000000004,1.1090835329834403
43,0.0122,0.087,0.0008900000000000019,1.300408103774027
44,0.012,0.0872,0.0006639999999999997,0.5779573588999493
45,0.0117,0.0841,0.0007670000000000003,0.8335357499179101
46,0.0115,0.0842,0.0005540000000000007,0.1286214627700312
47,0.0116,0.0847,0.0005889999999999992,0.2041745063150411
48,0.0115,0.0843,0.0005409999999999998,0.000668112327685234
49,0.0115,0.0839,0.0005929999999999998,0.13310370337201283
50,0.0113,0.0834,0.00045799999999999834,-0.35720870500328167
51,0.0111,0.082,0.0004399999999999994,-0.44372255502808966
52,0.0111,0.0809,0.0005830000000000002,0.0146145915140881
53,0.0112,0.0813,0.0006309999999999996,0.14321139097278354
54,0.0111,0.0823,0.0004010000000000003,-0.8105965641652639
55,0.0112,0.083,0.0004099999999999989,-0.8314530626402314
56,0.0112,0.0825,0.00047499999999999973,-0.6447388700152967
57,0.0111,0.0818,0.00046600000000000114,-0.758949190372922
58,0.0111,0.0822,0.00041400000000000117,-1.1127525948326966
59,0.0108,0.0802,0.00037400000000000107,-1.1851725764615821
60,0.0109,0.08,0.0004999999999999987,-0.5097082195688916
61,0.0109,0.0802,0.00047400000000000046,-0.588034277643178
62,0.0111,0.0809,0.0005830000000000002,0.22809429243055795
63,0.0111,0.0813,0.0005310000000000002,-0.0705189917300485
64,0.011,0.0808,0.0004959999999999999,-0.2573686166088872
65,0.0108,0.0808,0.0002960000000000011,-2.0038219917506424
66,0.0106,0.08,0.0001999999999999988,-2.6242934398223197
67,0.0107,0.081,0.00016999999999999828,-2.341703384989866
68,0.0108,0.081,0.0002699999999999994,-1.375778552016424
69,0.011,0.0812,0.00044399999999999995,0.04421856338669994
70,0.0108,0.0811,0.0002570000000000003,-1.3285398204385668
71,0.0109,0.0812,0.00034400000000000056,-0.5826719406590379
72,0.0108,0.0807,0.00030900000000000025,-0.7989243107389824
73,0.0108,0.0807,0.00030900000000000025,-0.7224164410556847
74,0.0109,0.0816,0.00029199999999999886,-0.7962892040390215
75,0.0107,0.0808,0.000196,-1.4717672641950095
76,0.0107,0.0806,0.00022199999999999824,-1.1413336223912034
77,0.0107,0.0811,0.00015699999999999915,-1.4852673208485088
78,0.0106,0.0787,0.00036899999999999954,0.2052927668049114
79,0.0106,0.0776,0.0005119999999999986,1.2605160889559932
80,0.0106,0.0782,0.0004339999999999986,0.6334803249190042
81,0.0106,0.078,0.00046000000000000034,0.8587670479369374
82,0.0106,0.0776,0.0005119999999999986,1.2266465773006137
83,0.0107,0.0777,0.0005989999999999988,1.861600160210439
84,0.0106,0.077,0.0005900000000000002,1.7144338169081836
85,0.0102,0.0748,0.000475999999999999,0.8988376077635353
86,0.0098,0.0742,0.00015399999999999962,-1.346723114222002
87,0.0096,0.0727,0.0001489999999999981,-1.3365212070721284
88,0.0097,0.0733,0.00017099999999999928,-1.1865809317518314
89,0.0097,0.0738,0.00010600000000000019,-1.493470187349711
90,0.0097,0.0743,4.099999999999937e-05,-1.6750283639019259
91,0.0097,0.0743,4.099999999999937e-05,-1.5173328262479473
92,0.0091,0.0696,5.199999999999996e-05,-1.3130130349240787
93,0.0091,0.0704,-5.199999999999996e-05,-1.6533583465893273
